"Element CSS selector","Total # of clicks","Visible in image","% of total"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column>div>button.mobile-menu-sidebar__nav-item.sf-button--pure.sf-menu-item.sf-button (1)","3","No","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (109)","3","No","0.07%"
"div#layout>div.dynamic-page>div>a.render-wrapper.banner.w-full.wow.storyblok__outline>div.content-wrapper.content-wrapper--content-right>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light","3","Yes","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (23)","3","No","0.07%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary.is-active>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column.is-active>div.sf-mega-menu-column__content>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item.mobile-menu-sidebar__nav-item>span.sf-menu-item__label (7)","3","No","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content>div.app-header-featured-tile__title (11)","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>a.render-wrapper.banner.w-full.wow.storyblok__outline>div.content-wrapper.content-wrapper--content-right>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--dark.dark.text-center>span.eyebrow-text (1)","3","No","0.07%"
"html>body>div.pac-container.pac-logo>div.pac-item>span (2)","3","No","0.07%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column>div.sf-footer-column__content.sf-footer-column__content--hidden-on-mobile>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item>span.sf-menu-item__label (17)","3","Yes","0.07%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons.sf-header__icons--inverse>div.account-dropdown__wrapper>div.sf-dropdown>div.sf-dropdown__container>div.account-dropdown__content--wrapper.text-center","3","No","0.07%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content>div>span>form.form","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap.single-col>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light","3","No","0.07%"
"#first-name","3","No","0.07%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-dots>button.ssr-carousel-dot-button>span.ssr-carousel-dot-icon (2)","3","Yes","0.07%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__top>div.cart-sidebar__top>div.cart-sidebar__top-controls>div.top-bar-summary>div.top-bar-summary__store-select-search>div.top-bar-summary__store-select-search__input-wrapper>button.top-bar-summary__store-select-search__location-btn>div.sf-loader>svg","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper (1)","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>a.render-wrapper.banner.w-full.wow.storyblok__outline>div.content-wrapper.content-wrapper--content-right","3","No","0.07%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.product-slider-wrapper.render-wrapper.storyblok__outline (1)","3","No","0.07%"
"div#__layout>div>div.footer-wrapper","3","Yes","0.07%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column>div>button.mobile-menu-sidebar__nav-item.sf-button--pure.sf-menu-item.sf-button>span.sf-menu-item__label (9)","3","No","0.07%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column>div>button.mobile-menu-sidebar__nav-item.sf-button--pure.sf-menu-item.sf-button>span.sf-menu-item__label","3","No","0.07%"
"button#login-modal-create-account-button>span.btn__text (1)","3","No","0.07%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light","3","Yes","0.07%"
"div#layout>div.dynamic-page>div>div.product-slider-wrapper.render-wrapper.storyblok__outline>div.product-slider>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing.no-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.product_card_slider_wrapper>div.product-card>a.product-card__image-wrapper>img (7)","3","No","0.07%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__content>div.my-cart>div.cart-sidebar__items>div>div.cart-item>div.cart-item__content>div.cart-item__title>a.sf-link.cart-item__product-link (5)","2","No","0.05%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__top>div.cart-sidebar__top>div.cart-sidebar__top-header>div.cart-sidebar__title>p.cart-sidebar__title__text","2","No","0.05%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--dark.dark.text-left>h3.title.h4 (3)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons>div.account-dropdown__wrapper>div.sf-dropdown>div.sf-dropdown__container>div.account-dropdown__content--wrapper.text-center.logged-in>a.account-dropdown__link-item>span","2","No","0.05%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results>div.header-search__results-panel>div.header-search__product-results>div.ais-Hits>div.product-results>div.sf-product-card.product-results__product-card>div>div.title-price-wrap.flex.between-xs>div.pd-price_and-off>div.product__price-and-rating>div.regular-items-price>div.pd-price.same-price.sf-price>span.sf-price__regular","2","No","0.05%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap.single-col>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center","2","No","0.05%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper>div>button.mobile-menu-sidebar__nav-item.mobile-menu-sidebar__nav-item--primary.sf-button--pure.sf-menu-item.sf-button (1)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (110)","2","No","0.05%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left (1)","2","No","0.05%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--dark.dark.text-center>span.eyebrow-text","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (111)","2","No","0.05%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper","2","Yes","0.05%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light (1)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (36)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (122)","2","No","0.05%"
"div#__layout>div>div.top-bar-items-wrapper>div.scroll-left>div.ssr-carousel.announcements-wrapper>div.ssr-carousel-slides>div.ssr-carousel-mask.disabled.no-mask>div.ssr-carousel-track>div.ssr-carousel-slide>div>p","2","Yes","0.05%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap.single-col>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>h3.title.h2","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>a.sf-link.sf-menu-item.app-header__nav-item-level-two__button>div (14)","2","No","0.05%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper>div.grid-container.grid-gap.single-col>div.grid-item>div>div.render-wrapper.lockup.mobile--dark.dark.text-center>h3.title.h2","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary.sf-fade-leave.sf-fade-leave-active>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>a.sf-link.sf-menu-item.app-header__nav-item-level-two__button>div (9)","2","No","0.05%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-dots>button.ssr-carousel-dot-button (1)","2","Yes","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (123)","2","No","0.05%"
